resident_name,department,district,academy_status,academy_exam_score,sleep_hours,hustle_earnings,district_temp_f
Sable Jones,Desk,Rainforest District,Fail,65,5.5,14.72,72.2
Kevin Frostwhisker,Patrol,Downtown,Fail,69,7.4,45.66,66.2
Jasper Duskrunner,Patrol,Sahara Square,Pass,79,8.7,30.91,89.8
Greta Smith,Desk,Tundratown,Pass,81,8.3,36.1,29.6
Otto Meadowsly,Patrol,Downtown,Pass,71,7.5,51.91,65.2
Wilhelmina Underbrush,Desk,Rainforest District,Pass,84,5.9,20.76,70.4
Barnaby Frostwhisker,Desk,Tundratown,Pass,73,6.5,111.83,22
Otto Brambleback,Patrol,Rainforest District,Pass,81,7.6,36.24,74.1
Sable Brambleback,Desk,Rainforest District,Fail,67,7.2,39.36,74.9
Ruby Trunkston,Desk,Sahara Square,Fail,59,6.4,22.88,94.9
Marlowe Swiftpaw,Patrol,Downtown,Pass,75,5.2,76.08,64.5
Roscoe Frostwhisker,Patrol,Sahara Square,Pass,73,5.9,20.95,99.3
Frank Swiftpaw,Patrol,Tundratown,Pass,84,7.7,35.31,26
Birch Underbrush,Desk,Downtown,Pass,86,6.2,21.65,65.1
Baxter Longwhisker,Desk,Downtown,Pass,90,7.1,17.51,66.4
Della Brambleback,Patrol,Sahara Square,Pass,77,7.1,38.26,90.8
Nadia Brambleback,Patrol,Sahara Square,Pass,77,8.6,30.29,98.7
Bob Smith,Patrol,Rainforest District,Pass,88,5.3,22.65,77
Roscoe Trunkston,Desk,Sahara Square,Pass,77,7.4,50.38,94.9
Flint Jones,Patrol,Downtown,Pass,89,7.6,26.64,62.3
Hazel Furlong,Patrol,Rainforest District,Fail,65,7.1,65.34,72.1
Percy Underbrush,Desk,Tundratown,Pass,74,2.9,24.96,27.3
Meadow Duskrunner,Patrol,Downtown,Pass,81,8.7,33.03,63.3
Ruby Brambleback,Patrol,Tundratown,Pass,83,6.4,53.15,19.7
Nadia Trunkston,Patrol,Sahara Square,Pass,76,6.2,81.04,95.2
Sable Swiftpaw,Desk,Sahara Square,Pass,72,7.1,9.1,93.8
Greta Furlong,Patrol,Sahara Square,Pass,92,7.3,16.64,93.2
Wilhelmina Hollowtail,Patrol,Downtown,Pass,83,9.2,26.26,65.6
Sable Meadowsly,Patrol,Rainforest District,Pass,77,5.1,31.23,72.1
Birch Hollowtail,Desk,Tundratown,Pass,72,4.7,10.53,26.5
