resident_name,exam_score_pre,exam_score_post,fitness_score_intake,fitness_score_6mo,response_time_before,response_time_after
Piper Ravensmoor,73,80,54,51,9.2,8
Rufus Copperfield,61,70,85,87,12.1,11.7
Willa Grimsby,72,74,67,70,6,5.3
Fennick Grimsby,67,74,79,81,8.1,8
Piper Copperfield,70,74,80,74,6.7,5.5
Coraline Copperfield,78,82,76,80,8.5,6
Fennick Quillfeather,72,75,83,80,9.2,8
Marigold Copperfield,69,76,65,70,8.8,7.8
Rufus Quillfeather,56,62,73,78,9.7,9.3
Marigold Marrow,80,84,60,62,6.4,5.1
Coraline Ravensmoor,62,64,83,84,6,4
Coraline Grimsby,64,66,65,65,9,7.3
Thaddeus Ashford,71,74,63,64,10.7,9.5
Basil Grimsby,67,72,67,66,4.9,4
Piper Fenwick,75,81,68,70,7.9,7.8
Fennick Thistlewood,71,73,64,67,10.5,10
Fennick Ravensmoor,66,70,59,67,7,5.8
Willa Copperfield,68,72,73,69,9.5,9.4
Silas Copperfield,63,65,69,72,5.4,5.2
Thaddeus Ravensmoor,74,78,65,61,5.1,4.8
Willa Marrow,71,77,75,67,9.3,8.8
Odette Wrenfield,69,73,67,70,5.1,4.7
Basil Wrenfield,69,74,61,66,7.9,7.8
Coraline Larkspur,67,76,57,57,5.9,5.7
Rufus Wrenfield,66,71,82,87,8.3,7.6
Rufus Fenwick,75,80,74,68,3.4,1
Coraline Quillfeather,79,85,76,80,6.1,5.1
Willa Thistlewood,78,85,78,70,10.8,10.3
Fennick Wrenfield,78,83,77,75,5.8,4.9
Basil Quillfeather,68,74,76,79,6.4,5.1
